session_id,account_id,ip_address,device_fingerprint,login_time,mfa_changed,geo_location,login_success,failed_attempts_prior
SESS-000001,ACCT-00109,42.245.118.143,DEV-9107,2026-03-05T02:57:00,False,Miami,True,0
SESS-000002,ACCT-00043,114.43.220.110,DEV-1366,2026-03-04T08:05:00,False,Denver,True,0
SESS-000003,ACCT-00034,136.54.175.82,DEV-5277,2026-03-04T15:36:00,False,Chicago,True,0
SESS-000004,ACCT-00057,9.127.30.32,DEV-1276,2026-03-04T15:44:00,False,Dallas,True,1
SESS-000005,ACCT-00104,235.231.188.109,DEV-6050,2026-03-05T01:15:00,False,Dallas,True,0
SESS-000006,ACCT-00095,200.178.190.73,DEV-7965,2026-03-05T05:06:00,False,Chicago,True,0
SESS-000007,ACCT-00065,36.128.236.112,DEV-1044,2026-03-04T09:37:00,False,Los Angeles,True,0
SESS-000008,ACCT-00143,205.62.19.54,DEV-NEW-13492,2026-03-04T10:02:00,False,Shenzhen,True,4
SESS-000009,ACCT-00116,126.82.216.133,DEV-1698,2026-03-04T09:04:00,False,Boston,True,0
SESS-000010,ACCT-00133,94.229.54.38,DEV-1499,2026-03-05T04:52:00,False,Los Angeles,True,1
SESS-000011,ACCT-00181,51.21.209.116,DEV-NEW-23325,2026-03-04T08:52:00,True,Moscow,True,6
SESS-000012,ACCT-00086,209.147.184.249,DEV-NEW-79559,2026-03-04T07:37:00,False,Bucharest,True,6
SESS-000013,ACCT-00103,7.8.222.47,DEV-6716,2026-03-04T12:42:00,False,Boston,True,1
SESS-000014,ACCT-00115,153.129.254.8,DEV-4351,2026-03-04T20:39:00,False,Los Angeles,True,0
SESS-000015,ACCT-00086,206.102.206.41,DEV-8200,2026-03-05T04:54:00,False,Miami,True,1
SESS-000016,ACCT-00101,21.180.32.135,DEV-4941,2026-03-04T11:04:00,False,Chicago,True,1
SESS-000017,ACCT-00005,104.212.217.26,DEV-NEW-50711,2026-03-04T15:04:00,False,Bucharest,True,3
SESS-000018,ACCT-00194,13.228.248.171,DEV-NEW-71257,2026-03-04T09:58:00,False,Lagos,True,3
SESS-000019,ACCT-00006,150.120.34.211,DEV-5416,2026-03-04T14:57:00,False,Dallas,True,0
SESS-000020,ACCT-00081,82.88.21.66,DEV-9222,2026-03-04T08:14:00,False,New York,True,1
SESS-000021,ACCT-00166,238.202.252.164,DEV-4664,2026-03-04T22:57:00,False,Los Angeles,True,0
SESS-000022,ACCT-00119,31.212.195.155,DEV-5794,2026-03-05T05:23:00,False,Los Angeles,True,1
