txn_id,account_id,amount,merchant,category,timestamp,channel,location,is_flagged,risk_score,flag_reason
TXN-000001,ACCT-00164,13754.81,Crypto Exchange XYZ,Cryptocurrency,2026-03-05T07:05:00,web,Los Angeles,True,0.915,mfa_change
TXN-000002,ACCT-00023,19.75,Amazon,Online Retail,2026-03-05T01:14:00,web,Houston,False,0.257,
TXN-000003,ACCT-00184,212.66,Uber,Transportation,2026-03-04T17:29:00,atm,Dallas,False,0.013,
TXN-000004,ACCT-00041,142.55,Target,Retail,2026-03-04T11:29:00,web,Seattle,False,0.053,
TXN-000005,ACCT-00089,366.22,Amazon,Online Retail,2026-03-04T10:41:00,mobile,Denver,False,0.375,
TXN-000006,ACCT-00159,290.79,Target,Retail,2026-03-05T06:34:00,mobile,New York,False,0.137,
TXN-000007,ACCT-00021,193.16,Walmart,Retail,2026-03-04T13:33:00,atm,Seattle,False,0.102,
TXN-000008,ACCT-00069,306.52,Walmart,Retail,2026-03-04T16:21:00,web,Boston,False,0.177,
TXN-000009,ACCT-00164,343.88,Shell Gas,Gas Station,2026-03-04T09:05:00,mobile,Houston,False,0.187,
TXN-000010,ACCT-00017,438.8,Netflix,Digital Services,2026-03-05T06:22:00,branch,Houston,False,0.399,
TXN-000011,ACCT-00165,74.12,Starbucks,Food & Drink,2026-03-04T22:37:00,branch,Dallas,False,0.186,
TXN-000012,ACCT-00057,257.22,Best Buy,Electronics,2026-03-04T11:44:00,mobile,New York,False,0.08,
TXN-000013,ACCT-00175,195.46,Walmart,Retail,2026-03-04T16:34:00,atm,Boston,False,0.389,
TXN-000014,ACCT-00003,342.45,Walmart,Retail,2026-03-04T11:48:00,branch,Seattle,False,0.08,
TXN-000015,ACCT-00001,486.08,Starbucks,Food & Drink,2026-03-04T11:37:00,web,Boston,False,0.141,
TXN-000016,ACCT-00164,80.66,Shell Gas,Gas Station,2026-03-05T02:06:00,web,Boston,False,0.274,
TXN-000017,ACCT-00126,44178.65,Online Casino Royal,Gambling,2026-03-04T09:58:00,branch,Houston,True,0.77,mfa_change
TXN-000018,ACCT-00021,41169.12,High-End Electronics Ltd,Electronics,2026-03-05T06:31:00,web,Chicago,True,0.838,mfa_change
TXN-000019,ACCT-00043,214.45,Netflix,Digital Services,2026-03-05T07:32:00,web,Boston,False,0.147,
